id,x,y,z,yaw,pitch,roll
1,1716.9,1014.29,0,-2.1895,-0.0177341,0.000897863
2,1717.13,1014.59,0,-2.18907,-0.0275277,0.00871512
3,1716.72,1014.02,0,-2.19091,-0.00804526,-0.00242997
4,1716.45,1013.7,0,-2.19203,-0.0140849,-0.00438319
5,1716.23,1013.41,0,-2.19355,-0.0166427,-0.00739439
6,1716.03,1013.1,0,-2.19468,-0.0200931,-0.00845796
7,1715.84,1012.83,0,-2.19648,-0.0215755,-0.00788225
8,1715.64,1012.52,0,-2.19735,-0.0264592,-0.00520376
9,1715.42,1012.22,0,-2.19744,-0.0261536,-0.00421506
10,1715.22,1011.94,0,-2.19794,-0.0257022,-0.0039161
11,1714.98,1011.67,0,-2.19851,-0.0243333,-0.00585902
12,1714.78,1011.38,0,-2.199,-0.0233731,-0.00426117
13,1714.58,1011.12,0,-2.20028,-0.0237514,-0.00702408
14,1714.37,1010.79,0,-2.20098,-0.0258864,-0.00211658
15,1714.17,1010.5,0,-2.20163,-0.0251068,-0.000371996
16,1713.95,1010.21,0,-2.2003,-0.0144659,-0.0080857
17,1713.77,1009.96,0,-2.20135,-0.0139844,-0.00679468
18,1713.56,1009.66,0,-2.20114,-0.0130865,-0.00758847
19,1713.34,1009.38,0,-2.20215,-0.0137821,-0.00814299
20,1713.12,1009.05,0,-2.20197,-0.0142087,-0.00474648
21,1712.95,1008.84,0,-2.20347,-0.0131015,-0.00894101
22,1712.76,1008.58,0,-2.20447,-0.0139007,-0.00855198
23,1712.52,1008.27,0,-2.20365,-0.0131544,-0.0109325
24,1712.33,1008.03,0,-2.20412,-0.0127416,-0.0124358
25,1712.08,1007.71,0,-2.20391,-0.0133019,-0.0127088
26,1711.86,1007.39,0,-2.20352,-0.0168139,-0.0118251
27,1711.68,1007.14,0,-2.20361,-0.0154666,-0.0145027
28,1711.48,1006.9,0,-2.20435,-0.0164337,-0.0168906
29,1711.28,1006.63,0,-2.2045,-0.0169166,-0.0179235
30,1711.05,1006.33,0,-2.20327,-0.0167959,-0.0182546
31,1710.85,1006.07,0,-2.20437,-0.0253641,-0.0142423
32,1710.73,1005.92,0,-2.20657,-0.0300181,-0.00977914
33,1710.54,1005.62,0,-2.20613,-0.0312152,-0.00724666
34,1710.29,1005.3,0,-2.20391,-0.0289439,-0.0112657
35,1710.1,1005.06,0,-2.20178,-0.0244929,-0.0160948
36,1709.9,1004.79,0,-2.20058,-0.0243382,-0.0163205
37,1709.7,1004.5,0,-2.19881,-0.0239562,-0.0177238
38,1709.54,1004.3,0,-2.19787,-0.0209398,-0.0219584
39,1709.37,1004.06,0,-2.19677,-0.0209778,-0.0204457
40,1709.15,1003.8,0,-2.1956,-0.0206288,-0.0227995
41,1709.05,1003.51,0,-2.19309,-0.00935931,-0.000942597
42,1708.7,1003.05,0,-2.19078,-0.0124584,-0.00114417
43,1708.52,1002.81,0,-2.18888,-0.0131499,-0.00330552
44,1708.32,1002.54,0,-2.18635,-0.0126461,-0.00458973
45,1708.14,1002.29,0,-2.18474,-0.0137121,-0.00476749
46,1707.94,1002.01,0,-2.1832,-0.0139155,-0.0038617
47,1707.78,1001.79,0,-2.18205,-0.0141237,-0.00291482
48,1707.67,1001.58,0,-2.18088,-0.0118837,0.00613457
49,1707.46,1001.32,0,-2.17931,-0.012554,0.00393442
50,1707.33,1001.11,0,-2.17722,-0.0111753,0.00869084
51,1707.16,1000.89,0,-2.17554,-0.0106112,0.00962015
52,1706.93,1000.58,0,-2.17289,-0.0167731,0.00259368
53,1706.79,1000.38,0,-2.17189,-0.0165714,0.00325434
54,1706.68,1000.17,0,-2.16904,-0.0122549,0.0120947
55,1706.44,999.849,0,-2.16693,-0.0136904,0.0111834
56,1706.3,999.615,0,-2.16496,-0.0151822,0.0124424
57,1706.23,999.541,0,-2.16478,-0.0132421,0.0130348
58,1706.13,999.372,0,-2.16268,-0.014662,0.0119767
59,1705.86,998.972,0,-2.15976,-0.0183037,0.0122743
60,1705.69,998.733,0,-2.15716,-0.0191107,0.00958819
61,1705.53,998.493,0,-2.15467,-0.0146229,0.0054291
62,1705.42,998.276,0,-2.14779,-0.007613,-0.0056328
63,1705.31,998.131,0,-2.14661,-0.00822276,-0.00605761
64,1705.13,997.878,0,-2.14397,-0.00969337,-0.00910709
65,1704.97,997.646,0,-2.14235,-0.0107433,-0.010074
66,1704.77,997.345,0,-2.1393,-0.0105002,-0.0100851
67,1704.67,997.184,0,-2.13909,-0.0095957,-0.010365
68,1704.5,996.911,0,-2.13607,-0.0097703,-0.00921925
69,1704.41,996.749,0,-2.13494,-0.00916953,-0.00924413
70,1704.15,996.353,0,-2.13132,-0.00864231,-0.0105465
71,1704.01,996.147,0,-2.1296,-0.00867695,-0.0116163
72,1703.88,995.94,0,-2.12808,-0.0085376,-0.0120715
73,1703.67,995.643,0,-2.12614,-0.00915876,-0.0131734
74,1703.58,995.513,0,-2.12531,-0.00941346,-0.0130582
75,1703.4,995.208,0,-2.12336,-0.0106523,-0.0135387
